ID,cluster
35494,0
35504,0
35556,0
35564,0
35578,0
35590,2
35616,0
35617,0
35620,2
35632,0
35641,2
35664,0
35699,2
35738,1
35753,0
35766,2
35800,0
35852,0
35869,2
35874,0
35876,0
35919,0
35945,2
35970,0
35972,0
35973,0
35988,0
35998,0
36040,0
36064,0
36072,0
36110,2
36115,0
36121,0
36122,0
36123,0
36133,2
36159,0
36179,2
36196,0
36211,0
36215,0
36234,0
36252,2
36257,0
36262,2
36265,0
36328,0
36386,0
36423,2
36433,0
36443,0
36463,2
36481,0
36503,0
36508,0
36563,0
36565,0
36573,2
36576,0
36630,0
36632,0
36633,0
36649,0
36686,0
36724,0
36741,0
36782,0
36806,0
36816,0
36818,0
36845,0
36860,0
36863,0
36877,0
36882,0
36886,0
36892,0
36923,2
36946,0
36949,2
36955,0
36969,0
36971,0
36977,0
36997,0
37004,0
37063,0
37064,0
37065,0
37074,0
37076,0
37082,0
37083,2
37091,0
37093,2
37095,0
37102,0
37140,0
37145,2
37146,0
37170,0
37181,0
37191,2
37199,0
37254,0
37267,0
37271,0
37288,0
37290,2
37303,0
37326,0
37349,2
37350,0
37373,0
37421,0
37433,0
37447,0
37502,0
37512,0
37545,0
37546,0
37547,0
37584,0
37586,2
37630,0
37637,0
37658,0
37664,0
37666,0
37685,0
37697,0
37699,0
37702,0
37704,2
37753,0
37756,0
37777,0
37813,0
37819,2
37820,0
37836,0
37841,0
37905,0
37924,0
37956,0
37973,0
37988,0
38003,2
38019,2
38031,0
38033,0
38036,0
38064,0
38081,0
38143,0
38234,2
38237,0
38283,0
38288,2
38321,0
38331,0
38359,0
38407,0
38448,0
38461,0
38484,0
38523,2
38544,0
38593,0
38611,0
38626,0
38668,0
38670,0
38679,0
38683,2
38698,2
38702,0
38718,0
38719,0
38759,0
38765,0
38769,0
38792,1
38795,0
38806,0
38838,0
38860,0
38865,0
38897,0
38908,0
38949,0
39031,0
39044,0
39084,0
39085,0
39108,0
39113,0
39166,0
39175,0
39199,0
39205,0
39245,0
39270,0
39281,0
39293,0
39294,0
39308,0
39316,2
39333,2
39358,0
39381,0
39415,0
39416,0
39429,2
39438,0
39444,0
39454,0
39484,0
39508,0
39530,0
39545,0
39557,0
39611,0
39673,2
39708,0
39730,2
39738,0
39742,0
39753,0
39771,2
39786,2
39788,0
39823,0
39881,0
39904,2
39926,0
39936,0
39967,2
39973,0
39974,0
39978,0
39994,0
40066,2
40071,0
40096,0
40114,2
40130,0
40131,0
40138,0
40147,0
40164,0
40187,0
40196,0
40207,2
40228,0
40229,0
40236,0
40239,0
40298,0
40313,2
40319,2
40321,0
40324,0
40344,0
40346,0
40352,0
40369,0
40384,0
40399,0
40415,2
40445,0
40450,0
40462,0
40481,2
40486,0
40517,0
40529,0
40536,0
40547,0
40551,0
40559,0
40572,0
40615,0
40684,0
40688,0
40746,2
40751,0
40792,0
40796,0
40810,0
40812,0
40838,0
40841,0
40863,0
40877,0
40898,0
40906,0
40954,0
40980,1
40987,0
40988,2
41004,0
41011,0
41031,0
41039,0
41073,0
41101,0
41103,0
41136,0
41147,1
41167,0
41181,0
41183,0
41206,2
41230,0
41231,0
41238,0
41253,2
41269,0
41288,2
41294,0
41302,0
41321,0
41337,0
41352,0
41388,0
41392,0
41395,0
41405,2
41449,0
41463,0
41482,2
41486,0
41508,0
41566,0
41640,0
41670,2
41676,0
41702,0
41720,0
41768,0
41838,0
41877,2
41901,0
41925,2
41926,2
41943,0
41962,0
41987,0
41991,0
41998,0
42023,0
42027,2
42046,2
42054,0
42055,0
42086,0
42109,0
42118,2
42141,2
42155,0
42165,0
42185,0
42191,0
42194,0
42207,2
42297,0
42308,0
42348,0
42362,0
42365,0
42377,0
42398,0
42422,0
42442,2
42455,2
42475,0
42491,0
42503,0
42552,0
42562,0
42570,0
42571,0
42580,0
42590,0
42601,0
42615,0
42626,0
42635,0
42647,0
42672,2
42678,0
42683,0
42736,0
42758,0
42792,0
42796,0
42823,0
42826,0
42828,2
42853,0
42859,2
42861,0
42884,0
42889,0
42890,0
42908,0
42919,0
42922,0
42926,0
42939,0
42951,0
42958,0
42970,0
43016,0
43065,0
43076,0
43081,2
43089,2
43117,0
43128,0
43145,0
43212,0
43223,2
43233,0
43249,0
43328,0
43333,0
43380,0
43431,0
43508,0
43527,2
43554,0
43564,0
43601,0
43650,2
43658,2
43712,0
43713,0
43716,0
43720,0
43771,0
43777,1
43786,0
43811,2
43824,0
43825,2
43827,0
43842,0
43872,2
43904,0
43913,0
43947,2
43981,2
43993,0
44002,0
44007,2
44017,0
44019,0
44021,2
44031,0
44057,0
44097,0
44101,0
44104,0
44169,0
44180,0
44190,2
44199,0
44206,0
44226,0
44260,0
44277,0
44336,0
44395,0
44396,0
44401,0
44421,0
44452,0
44491,0
44507,0
44532,2
44553,0
44555,2
44565,0
44571,0
44593,0
44625,0
44641,0
44646,0
44727,2
44744,0
44751,0
44784,2
44822,0
44831,0
44832,0
44878,0
44909,0
44965,0
44969,0
44970,0
44982,0
44996,0
45017,2
45033,0
45035,2
45043,0
